Housing Activities Trend Beaumont-Port Arthur MSA,Beaumont-Port Arthur MSA Housing Data,,,,,,,
Data from,https://www.recenter.tamu.edu/data/housing-activity/#!/activity/MSA/Beaumont-Port_Arthur,Texas Real Estate Research Center,,,,,,
Date,Sales,Volume,AvPrice,MedPrice,TotalListings,Inventory,Month,Year
Jan 1990,122,8634794,70777,58460,871,7.1,1,1990
Feb 1990,97,7220874,74442,62818,960,8.8,2,1990
Mar 1990,132,9288708,70369,54636,1017,8.7,3,1990
Apr 1990,120,9467160,78893,65219,923,7.8,4,1990
May 1990,135,10148895,75177,58460,1017,8.4,5,1990
Jun 1990,141,11577228,82108,63529,995,8,6,1990
Jul 1990,135,11033550,81730,63174,943,7.5,7,1990
Aug 1990,160,12035520,75222,54013,839,6.4,8,1990
Sep 1990,128,10220928,79851,60683,928,7.1,9,1990
Oct 1990,124,9321080,75170,56414,909,7,10,1990
Nov 1990,122,8634794,70777,58460,871,6.8,11,1990
Dec 1990,126,9761598,77473,69221,816,6.4,12,1990
Jan 1991,95,8129055,85569,69844,802,6.4,1,1991
Feb 1991,115,8660880,75312,58549,804,6.3,2,1991
Mar 1991,143,10698259,74813,61839,816,6.3,3,1991
Apr 1991,134,10881202,81203,65397,814,6.3,4,1991
May 1991,137,12286982,89686,67531,825,6.3,5,1991
Jun 1991,156,12547392,80432,67354,842,6.4,6,1991
Jul 1991,134,10685830,79745,65842,845,6.4,7,1991
Aug 1991,154,12860232,83508,65041,853,6.5,8,1991
Sep 1991,130,10621910,81707,62818,811,6.2,9,1991
Oct 1991,136,10967584,80644,64152,783,5.9,10,1991
Nov 1991,132,11011440,83420,65308,735,5.5,11,1991
Dec 1991,100,8511500,85115,66108,673,5.2,12,1991
Jan 1992,113,9517538,84226,66909,730,5.5,1,1992
Feb 1992,120,9887640,82397,61306,919,6.9,2,1992
Mar 1992,150,13193250,87955,68954,791,6,3,1992
Apr 1992,120,11137800,92815,72423,814,6.2,4,1992
May 1992,137,11190297,81681,66731,818,6.2,5,1992
Jun 1992,142,12400150,87325,68777,862,6.6,6,1992
Jul 1992,138,10467162,75849,65219,850,6.5,7,1992
Aug 1992,144,11738160,81515,67843,845,6.5,8,1992
Sep 1992,137,10885335,79455,70466,841,6.4,9,1992
Oct 1992,144,13410288,93127,72957,805,6.1,10,1992
Nov 1992,103,8317044,80748,61573,811,6.3,11,1992
Dec 1992,123,9561774,77738,66286,735,5.6,12,1992
Jan 1993,110,8996020,81782,67976,753,5.8,1,1993
Feb 1993,125,10468000,83744,61484,779,5.9,2,1993
Mar 1993,141,11749812,83332,72423,822,6.3,3,1993
Apr 1993,143,11018579,77053,65219,852,6.4,4,1993
May 1993,122,11304520,92660,76870,879,6.7,5,1993
Jun 1993,140,11736900,83835,69310,863,6.6,6,1993
Jul 1993,143,11973533,83731,66731,908,6.9,7,1993
Aug 1993,156,14313312,91752,70822,873,6.6,8,1993
Sep 1993,142,12390636,87258,71445,893,6.7,9,1993
Oct 1993,120,11035200,91960,72957,868,6.6,10,1993
Nov 1993,120,10108440,84237,67531,821,6.2,11,1993
Dec 1993,129,11090904,85976,73668,773,5.8,12,1993
Jan 1994,92,7430840,80770,68599,815,6.2,1,1994
Feb 1994,105,9069690,86378,70644,842,6.5,2,1994
Mar 1994,136,12702400,93400,77226,885,6.9,3,1994
Apr 1994,128,10177792,79514,71178,931,7.3,4,1994
May 1994,167,15391889,92167,73757,921,7,5,1994
Jun 1994,149,14090483,94567,75980,917,6.9,6,1994
Jul 1994,144,13421088,93202,82295,904,6.8,7,1994
Aug 1994,142,12170962,85711,69577,926,7.1,8,1994
Sep 1994,133,10752119,80843,65041,893,6.8,9,1994
Oct 1994,133,11210304,84288,70733,889,6.8,10,1994
Nov 1994,111,9948486,89626,66909,856,6.6,11,1994
Dec 1994,125,10253750,82030,72868,823,6.3,12,1994
Jan 1995,113,9387701,83077,62017,852,6.4,1,1995
Feb 1995,116,9685420,83495,67531,851,6.4,2,1995
Mar 1995,119,11418288,95952,83184,877,6.7,3,1995
Apr 1995,134,11890490,88735,69844,898,6.8,4,1995
May 1995,128,10019712,78279,65130,958,7.4,5,1995
Jun 1995,145,14369935,99103,75002,981,7.6,6,1995
Jul 1995,165,14121030,85582,71356,1037,8,7,1995
Aug 1995,155,13359760,86192,70555,1048,8,8,1995
Sep 1995,124,10929856,88144,77314,1021,7.8,9,1995
Oct 1995,126,10943226,86851,71711,990,7.6,10,1995
Nov 1995,135,11379420,84292,74468,950,7.2,11,1995
Dec 1995,112,9599632,85711,62462,893,6.8,12,1995
Jan 1996,116,9945492,85737,66820,907,6.9,1,1996
Feb 1996,116,9945492,85737,71178,957,7.3,2,1996
Mar 1996,123,11016987,89569,75536,1024,7.8,3,1996
Apr 1996,160,14336960,89606,74113,1041,7.8,4,1996
May 1996,150,13964100,93094,76870,1071,7.9,5,1996
Jun 1996,150,13323150,88821,75536,1105,8.1,6,1996
Jul 1996,160,15024960,93906,79360,1093,8.1,7,1996
Aug 1996,163,14820938,90926,76247,1051,7.7,8,1996
Sep 1996,156,13652028,87513,71978,1005,7.2,9,1996
Oct 1996,137,12102032,88336,79093,1030,7.4,10,1996
Nov 1996,120,9345360,77878,68243,1021,7.4,11,1996
Dec 1996,128,11029504,86168,70377,956,6.8,12,1996
Jan 1997,123,10992387,89369,75891,946,6.7,1,1997
Feb 1997,126,11883564,94314,77492,974,6.9,2,1997
Mar 1997,124,10932212,88163,72423,1009,7.1,3,1997
Apr 1997,144,11764512,81698,71178,1064,7.6,4,1997
May 1997,160,15729280,98308,82384,1038,7.4,5,1997
Jun 1997,161,14411915,89515,74024,998,7,6,1997
Jul 1997,180,15298560,84992,76603,1000,7,7,1997
Aug 1997,164,14865288,90642,71445,1030,7.2,8,1997
Sep 1997,147,14381157,97831,82917,1011,7.1,9,1997
Oct 1997,154,13489630,87595,74468,1000,6.9,10,1997
Nov 1997,115,11206635,97449,75358,976,6.8,11,1997
Dec 1997,137,12513580,91340,80872,914,6.3,12,1997
Jan 1998,113,10270118,90886,70644,916,6.4,1,1998
Feb 1998,129,12815118,99342,84785,941,6.5,2,1998
Mar 1998,169,15309372,90588,78204,944,6.4,3,1998
Apr 1998,160,14982080,93638,78737,956,6.4,4,1998
May 1998,179,18022078,100682,81317,998,6.6,5,1998
Jun 1998,219,21193068,96772,83362,1043,6.7,6,1998
Jul 1998,189,17663184,93456,74646,1049,6.7,7,1998
Aug 1998,174,17212254,98921,84696,1000,6.4,8,1998
Sep 1998,200,19904000,99520,78026,915,5.7,9,1998
Oct 1998,174,17867016,102684,83807,881,5.4,10,1998
Nov 1998,144,13461696,93484,79449,842,5.1,11,1998
Dec 1998,138,13718718,99411,80338,796,4.8,12,1998
Jan 1999,147,15443673,105059,88965,830,4.9,1,1999
Feb 1999,154,14978810,97265,86119,855,5,2,1999
Mar 1999,178,17072870,95915,80961,882,5.1,3,1999
Apr 1999,174,16757418,96307,81050,870,5,4,1999
May 1999,188,17883688,95126,78826,895,5.2,5,1999
Jun 1999,190,18941290,99691,83540,915,5.4,6,1999
Jul 1999,196,18800320,95920,81317,904,5.3,7,1999
Aug 1999,196,19097260,97435,83807,894,5.2,8,1999
Sep 1999,196,19097260,97435,83807,894,5.2,9,1999
Oct 1999,140,12812660,91519,77581,917,5.4,10,1999
Nov 1999,154,15351798,99687,77314,913,5.3,11,1999
Dec 1999,148,15398660,104045,87097,901,5.2,12,1999
Jan 2000,127,13475843,106109,83184,933,5.5,1,2000
Feb 2000,162,15609672,96356,82651,953,5.6,2,2000
Mar 2000,186,19103316,102706,83718,955,5.6,3,2000
